Age,Gender,Weight (kg),Height (m),Avg_BPM,Session_Duration (hours),Workout_Type,Workout_Frequency (days/week),Experience_Level,Calories_Burned
58,Female,59.3,1.58,165,1.97,Strength,4,3,1463
54,Female,70.7,1.57,163,1.14,Cardio,3,1,836
31,Male,86.9,1.69,130,1.72,Yoga,4,3,1230
47,Male,98.2,1.9,148,0.76,HIIT,3,1,557
52,Male,63.6,1.62,150,1.3,Strength,4,2,965
38,Female,45.2,1.68,144,1.01,HIIT,3,2,727
54,Male,117.2,1.62,143,1.04,HIIT,4,2,736
22,Male,107.4,1.74,138,1.34,Strength,2,1,1017
36,Female,59.1,1.78,121,0.85,Cardio,2,1,514
31,Female,53.3,1.64,141,0.57,Strength,3,1,402
43,Male,46.2,1.63,139,1.18,Strength,2,1,812
21,Male,67,1.61,152,1.32,Yoga,3,2,1104
42,Male,86.3,1.77,127,1.77,HIIT,4,3,1113
59,Male,85.5,1.67,144,1.99,Cardio,5,3,1418
42,Male,70.2,1.87,165,1.38,HIIT,3,2,1127
35,Male,127.1,1.62,128,1.02,Strength,4,2,718
57,Female,75.6,1.67,153,1.05,Cardio,3,2,723
25,Female,62.6,1.65,142,1.2,Cardio,3,1,852
56,Female,55.7,1.53,124,1.91,Cardio,5,3,1066
57,Male,96.1,1.74,144,1.21,Cardio,3,2,862
31,Female,76.7,1.62,127,1.39,Yoga,4,2,883
49,Male,57.2,1.89,135,1.14,Cardio,2,1,762
55,Male,69.9,1.81,167,1.2,Strength,4,2,992
50,Female,67.9,1.77,164,1.03,Yoga,3,2,760
40,Male,87.9,1.87,134,1.96,Strength,5,3,1445
32,Male,102.8,1.98,120,1.24,Strength,3,2,818
50,Female,51.8,1.5,141,1.32,HIIT,3,1,838
42,Female,57.7,1.57,122,1.83,Cardio,4,3,1005
34,Female,66.5,1.69,157,0.81,Cardio,3,1,636
50,Male,95.4,1.61,133,1.16,Strength,4,2,764
19,Female,69.2,1.6,155,1.17,Cardio,3,1,907
31,Female,66.6,1.67,137,1.02,Yoga,4,2,699
57,Male,83.4,1.65,166,1.57,HIIT,4,3,1290
57,Female,43.8,1.75,160,1.39,Cardio,2,1,1001
56,Female,64.2,1.69,137,1.99,Cardio,5,3,1227
23,Female,44.1,1.62,122,0.58,Yoga,2,1,354
23,Male,87.3,1.91,129,1.87,HIIT,5,3,1327
20,Male,55,1.6,168,1.12,Yoga,4,2,1035
24,Male,87.1,1.74,158,1.57,Strength,4,3,1364
25,Male,66.6,1.61,166,1.38,Strength,2,1,1260
59,Female,60.4,1.76,120,1.72,Cardio,5,3,929
32,Male,126.4,1.83,146,1.1,HIIT,3,2,883
46,Male,88.7,1.63,146,0.75,Strength,2,1,542
